id,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,emp_var_rate,cons_price_idx
46,57,admin.,married,university.degree,no,yes,yes,telephone,may,mon,616,1,999,1.1,93.994
47,40,blue-collar,married,basic.9y,no,no,yes,telephone,may,mon,178,1,999,1.1,93.994
48,35,admin.,married,university.degree,no,yes,no,telephone,may,mon,355,1,999,1.1,93.994
49,45,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,225,2,999,1.1,93.994
50,54,admin.,married,high.school,no,no,no,telephone,may,mon,160,1,999,1.1,93.994
51,39,housemaid,married,basic.4y,no,no,yes,telephone,may,mon,266,1,999,1.1,93.994
52,60,admin.,married,high.school,no,no,no,telephone,may,mon,253,1,999,1.1,93.994
53,53,admin.,single,professional.course,no,no,no,telephone,may,mon,179,1,999,1.1,93.994
54,55,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,269,2,999,1.1,93.994
55,55,technician,married,professional.course,unknown,yes,no,telephone,may,mon,135,1,999,1.1,93.994
56,50,management,married,university.degree,unknown,no,yes,telephone,may,mon,161,1,999,1.1,93.994
57,45,services,married,high.school,unknown,yes,no,telephone,may,mon,787,1,999,1.1,93.994
58,55,unemployed,married,professional.course,unknown,yes,yes,telephone,may,mon,145,1,999,1.1,93.994
59,25,technician,single,university.degree,no,yes,no,telephone,may,mon,174,1,999,1.1,93.994
60,47,entrepreneur,married,university.degree,unknown,no,no,telephone,may,mon,449,1,999,1.1,93.994
61,51,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,812,1,999,1.1,93.994
62,42,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,164,1,999,1.1,93.994
63,42,blue-collar,married,basic.6y,unknown,no,no,telephone,may,mon,366,1,999,1.1,93.994
64,48,admin.,married,high.school,no,no,no,telephone,may,mon,357,1,999,1.1,93.994
65,37,admin.,married,university.degree,no,no,no,telephone,may,mon,232,1,999,1.1,93.994
66,44,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,91,1,999,1.1,93.994
67,33,admin.,married,unknown,no,yes,no,telephone,may,mon,273,1,999,1.1,93.994
68,56,admin.,married,basic.9y,no,yes,no,telephone,may,mon,158,2,999,1.1,93.994
69,44,blue-collar,single,basic.4y,unknown,yes,yes,telephone,may,mon,177,1,999,1.1,93.994
70,41,management,married,basic.6y,no,no,no,telephone,may,mon,200,1,999,1.1,93.994
71,44,management,divorced,university.degree,no,yes,no,telephone,may,mon,172,1,999,1.1,93.994
72,47,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,176,1,999,1.1,93.994
73,57,unknown,married,unknown,unknown,no,no,telephone,may,mon,211,1,999,1.1,93.994
74,37,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,214,1,999,1.1,93.994
75,41,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,1575,1,999,1.1,93.994
76,55,technician,married,university.degree,no,no,no,telephone,may,mon,349,1,999,1.1,93.994
77,33,services,married,high.school,unknown,yes,no,telephone,may,mon,337,2,999,1.1,93.994
78,55,management,married,unknown,unknown,yes,no,telephone,may,mon,272,1,999,1.1,93.994
79,42,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,208,1,999,1.1,93.994
80,50,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,193,1,999,1.1,93.994
81,51,blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,may,mon,212,1,999,1.1,93.994
82,38,admin.,married,high.school,unknown,no,no,telephone,may,mon,165,2,999,1.1,93.994
83,49,entrepreneur,married,university.degree,unknown,yes,no,telephone,may,mon,1042,1,999,1.1,93.994
84,38,technician,single,university.degree,no,no,yes,telephone,may,mon,20,1,999,1.1,93.994
85,31,admin.,divorced,high.school,no,no,no,telephone,may,mon,246,1,999,1.1,93.994
86,41,management,married,basic.6y,no,no,no,telephone,may,mon,529,2,999,1.1,93.994
87,39,admin.,married,university.degree,no,yes,yes,telephone,may,mon,192,1,999,1.1,93.994
88,49,technician,married,basic.9y,no,no,no,telephone,may,mon,1467,1,999,1.1,93.994
89,34,admin.,married,high.school,no,yes,no,telephone,may,mon,188,2,999,1.1,93.994
90,35,admin.,married,university.degree,no,yes,no,telephone,may,mon,180,2,999,1.1,93.994
91,57,unknown,married,unknown,unknown,yes,no,telephone,may,mon,48,1,999,1.1,93.994
92,60,admin.,married,unknown,unknown,no,yes,telephone,may,mon,213,2,999,1.1,93.994
93,33,unemployed,married,basic.9y,no,no,no,telephone,may,mon,545,1,999,1.1,93.994
94,42,blue-collar,married,basic.6y,no,no,yes,telephone,may,mon,583,1,999,1.1,93.994
95,45,services,married,professional.course,no,yes,no,telephone,may,mon,221,1,999,1.1,93.994
96,42,management,married,university.degree,no,no,no,telephone,may,mon,426,1,999,1.1,93.994
97,53,admin.,divorced,university.degree,unknown,no,no,telephone,may,mon,287,1,999,1.1,93.994
98,37,technician,single,professional.course,no,no,no,telephone,may,mon,197,1,999,1.1,93.994
99,44,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,257,1,999,1.1,93.994
100,54,services,married,unknown,no,yes,no,telephone,may,mon,229,1,999,1.1,93.994
101,49,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,55,3,999,1.1,93.994
102,54,services,married,unknown,no,no,no,telephone,may,mon,400,1,999,1.1,93.994
103,52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,197,1,999,1.1,93.994
104,52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,190,1,999,1.1,93.994
105,43,services,single,high.school,unknown,no,no,telephone,may,mon,21,1,999,1.1,93.994
106,34,housemaid,married,basic.6y,no,yes,no,telephone,may,mon,300,2,999,1.1,93.994
107,35,admin.,married,high.school,no,yes,no,telephone,may,mon,123,2,999,1.1,93.994
108,42,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,293,1,999,1.1,93.994
109,43,technician,married,unknown,unknown,yes,yes,telephone,may,mon,325,1,999,1.1,93.994
110,60,retired,divorced,university.degree,unknown,no,no,telephone,may,mon,514,1,999,1.1,93.994
111,58,unemployed,married,basic.4y,unknown,no,no,telephone,may,mon,849,2,999,1.1,93.994
112,35,services,divorced,high.school,no,yes,no,telephone,may,mon,194,1,999,1.1,93.994
113,55,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,212,2,999,1.1,93.994
114,37,management,married,university.degree,no,no,no,telephone,may,mon,337,2,999,1.1,93.994
115,36,blue-collar,married,high.school,no,no,no,telephone,may,mon,286,1,999,1.1,93.994
116,52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,247,2,999,1.1,93.994
117,57,blue-collar,divorced,unknown,unknown,yes,no,telephone,may,mon,518,1,999,1.1,93.994
118,56,admin.,married,unknown,no,yes,no,telephone,may,mon,364,1,999,1.1,93.994
119,48,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,178,1,999,1.1,93.994
120,40,blue-collar,married,high.school,unknown,yes,no,telephone,may,mon,98,1,999,1.1,93.994
121,49,blue-collar,divorced,high.school,no,no,no,telephone,may,mon,439,1,999,1.1,93.994
122,41,services,married,high.school,no,no,no,telephone,may,mon,139,1,999,1.1,93.994
123,45,technician,married,high.school,no,yes,no,telephone,may,mon,79,1,999,1.1,93.994
124,32,admin.,married,university.degree,no,yes,yes,telephone,may,mon,175,1,999,1.1,93.994
125,42,admin.,married,university.degree,no,no,yes,telephone,may,mon,262,2,999,1.1,93.994
126,50,admin.,married,basic.6y,no,no,no,telephone,may,mon,61,1,999,1.1,93.994
127,31,technician,divorced,professional.course,no,yes,yes,telephone,may,mon,78,1,999,1.1,93.994
128,56,retired,married,basic.4y,no,yes,no,telephone,may,mon,102,2,999,1.1,93.994
129,41,technician,married,professional.course,unknown,yes,no,telephone,may,mon,579,1,999,1.1,93.994
130,37,blue-collar,married,basic.6y,no,yes,yes,telephone,may,mon,143,1,999,1.1,93.994
131,41,technician,married,professional.course,unknown,no,no,telephone,may,mon,677,1,999,1.1,93.994
132,35,blue-collar,married,unknown,no,yes,no,telephone,may,mon,267,1,999,1.1,93.994
133,37,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,345,1,999,1.1,93.994
134,52,management,married,university.degree,no,no,no,telephone,may,mon,185,1,999,1.1,93.994
135,39,management,divorced,university.degree,no,no,no,telephone,may,mon,207,1,999,1.1,93.994
136,39,housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,69,2,999,1.1,93.994
137,56,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,100,2,999,1.1,93.994
138,34,services,married,high.school,no,yes,no,telephone,may,mon,125,2,999,1.1,93.994
139,45,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,461,1,999,1.1,93.994
140,43,unemployed,single,university.degree,no,yes,no,telephone,may,mon,240,1,999,1.1,93.994
141,56,management,married,unknown,no,yes,no,telephone,may,mon,70,1,999,1.1,93.994
142,39,management,married,university.degree,no,yes,no,telephone,may,mon,193,1,999,1.1,93.994
143,53,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,136,1,999,1.1,93.994
144,38,unknown,divorced,high.school,unknown,yes,no,telephone,may,mon,73,1,999,1.1,93.994
145,42,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,528,1,999,1.1,93.994
146,42,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,541,1,999,1.1,93.994
147,35,admin.,single,high.school,no,yes,no,telephone,may,mon,338,1,999,1.1,93.994
148,40,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,163,1,999,1.1,93.994
149,51,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,87,1,999,1.1,93.994
150,60,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,301,1,999,1.1,93.994
151,56,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,46,1,999,1.1,93.994
152,39,services,divorced,high.school,unknown,yes,no,telephone,may,mon,52,1,999,1.1,93.994
153,56,entrepreneur,married,unknown,unknown,no,no,telephone,may,mon,204,1,999,1.1,93.994
154,40,blue-collar,married,unknown,no,yes,yes,telephone,may,mon,155,1,999,1.1,93.994
155,36,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,98,1,999,1.1,93.994
156,51,blue-collar,married,unknown,unknown,yes,no,telephone,may,mon,71,1,999,1.1,93.994
157,51,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,243,1,999,1.1,93.994
158,43,technician,single,professional.course,no,yes,no,telephone,may,mon,186,2,999,1.1,93.994
159,59,services,married,high.school,no,no,no,telephone,may,mon,579,2,999,1.1,93.994
160,24,management,single,university.degree,no,yes,no,telephone,may,mon,165,2,999,1.1,93.994
161,37,blue-collar,single,basic.9y,unknown,yes,yes,telephone,may,mon,163,2,999,1.1,93.994
162,40,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,46,1,999,1.1,93.994
163,42,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,559,3,999,1.1,93.994
164,39,services,divorced,high.school,unknown,no,no,telephone,may,mon,2033,1,999,1.1,93.994
165,37,entrepreneur,married,basic.6y,no,no,no,telephone,may,mon,85,1,999,1.1,93.994
166,38,services,married,high.school,no,yes,yes,telephone,may,mon,506,1,999,1.1,93.994
167,56,admin.,divorced,unknown,unknown,no,no,telephone,may,mon,114,2,999,1.1,93.994
168,40,blue-collar,married,unknown,no,no,no,telephone,may,mon,114,2,999,1.1,93.994
169,54,management,divorced,university.degree,no,yes,no,telephone,may,mon,843,2,999,1.1,93.994
170,43,blue-collar,married,high.school,unknown,no,yes,telephone,may,mon,181,1,999,1.1,93.994
171,36,services,married,high.school,unknown,no,no,telephone,may,mon,427,1,999,1.1,93.994
172,45,technician,married,university.degree,no,yes,yes,telephone,may,mon,292,1,999,1.1,93.994
173,42,admin.,single,university.degree,unknown,no,no,telephone,may,mon,192,1,999,1.1,93.994
174,43,services,married,high.school,no,no,no,telephone,may,mon,93,3,999,1.1,93.994
175,46,management,married,basic.9y,no,no,no,telephone,may,mon,128,2,999,1.1,93.994
176,44,services,married,high.school,no,yes,yes,telephone,may,mon,107,1,999,1.1,93.994
177,51,admin.,single,basic.6y,no,no,no,telephone,may,mon,303,2,999,1.1,93.994
178,28,services,married,high.school,no,yes,no,telephone,may,mon,81,1,999,1.1,93.994
179,37,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,270,1,999,1.1,93.994
180,34,technician,married,high.school,no,no,no,telephone,may,mon,228,1,999,1.1,93.994
181,46,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,240,1,999,1.1,93.994
182,42,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,673,2,999,1.1,93.994
183,36,admin.,married,university.degree,no,yes,no,telephone,may,mon,233,3,999,1.1,93.994
184,54,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,102,1,999,1.1,93.994
185,57,management,married,university.degree,no,no,no,telephone,may,mon,461,1,999,1.1,93.994
186,51,technician,married,basic.6y,unknown,no,no,telephone,may,mon,250,1,999,1.1,93.994
187,54,retired,married,high.school,unknown,no,no,telephone,may,mon,130,1,999,1.1,93.994
188,49,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,252,1,999,1.1,93.994
189,34,admin.,married,university.degree,no,yes,no,telephone,may,mon,138,1,999,1.1,93.994
190,41,technician,married,professional.course,no,no,no,telephone,may,mon,412,1,999,1.1,93.994
191,38,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,179,2,999,1.1,93.994
192,45,management,divorced,university.degree,no,no,no,telephone,may,mon,19,2,999,1.1,93.994
193,42,technician,married,university.degree,no,no,no,telephone,may,mon,228,2,999,1.1,93.994
194,34,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,mon,55,1,999,1.1,93.994
195,48,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,717,1,999,1.1,93.994
196,37,admin.,married,high.school,unknown,yes,no,telephone,may,mon,313,1,999,1.1,93.994
197,34,blue-collar,single,basic.9y,unknown,no,no,telephone,may,mon,289,1,999,1.1,93.994
198,40,admin.,married,basic.9y,unknown,yes,no,telephone,may,mon,683,2,999,1.1,93.994
199,43,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,1077,1,999,1.1,93.994
200,33,services,married,high.school,no,no,no,telephone,may,mon,146,2,999,1.1,93.994
201,32,services,single,basic.6y,no,no,no,telephone,may,mon,167,1,999,1.1,93.994
202,39,blue-collar,married,high.school,no,yes,no,telephone,may,mon,356,2,999,1.1,93.994
203,43,admin.,married,unknown,no,no,no,telephone,may,mon,277,1,999,1.1,93.994
204,44,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,172,1,999,1.1,93.994
205,35,student,single,university.degree,unknown,no,no,telephone,may,mon,218,1,999,1.1,93.994
206,35,student,single,university.degree,unknown,yes,yes,telephone,may,mon,217,1,999,1.1,93.994
207,35,unemployed,married,professional.course,no,no,no,telephone,may,mon,67,1,999,1.1,93.994
208,36,services,single,basic.4y,no,no,no,telephone,may,mon,291,1,999,1.1,93.994
209,35,student,single,university.degree,unknown,yes,no,telephone,may,mon,248,1,999,1.1,93.994
210,36,student,single,basic.9y,no,yes,no,telephone,may,mon,256,1,999,1.1,93.994
211,55,housemaid,divorced,university.degree,no,no,no,telephone,may,mon,286,1,999,1.1,93.994
212,59,admin.,married,university.degree,no,no,no,telephone,may,mon,477,1,999,1.1,93.994
213,57,retired,married,unknown,unknown,no,no,telephone,may,mon,611,2,999,1.1,93.994
214,39,blue-collar,married,professional.course,unknown,yes,no,telephone,may,mon,471,1,999,1.1,93.994
215,39,housemaid,married,basic.4y,unknown,yes,no,telephone,may,mon,381,2,999,1.1,93.994
216,30,blue-collar,single,unknown,no,yes,no,telephone,may,mon,251,1,999,1.1,93.994
217,30,blue-collar,single,unknown,no,yes,yes,telephone,may,mon,408,1,999,1.1,93.994
218,50,housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,287,1,999,1.1,93.994
219,40,services,married,high.school,no,no,no,telephone,may,mon,322,3,999,1.1,93.994
220,35,admin.,married,high.school,no,yes,no,telephone,may,mon,216,2,999,1.1,93.994
221,43,technician,married,unknown,unknown,no,no,telephone,may,mon,366,2,999,1.1,93.994
222,36,services,single,basic.6y,unknown,yes,no,telephone,may,mon,210,1,999,1.1,93.994
223,46,technician,married,basic.4y,unknown,yes,no,telephone,may,mon,288,1,999,1.1,93.994
224,40,technician,married,basic.9y,no,no,no,telephone,may,mon,168,1,999,1.1,93.994
225,58,retired,married,university.degree,no,no,no,telephone,may,mon,132,1,999,1.1,93.994
226,42,technician,married,university.degree,no,no,no,telephone,may,mon,64,2,999,1.1,93.994
227,35,admin.,single,university.degree,no,no,no,telephone,may,mon,209,2,999,1.1,93.994
228,43,retired,married,basic.4y,unknown,no,no,telephone,may,mon,410,3,999,1.1,93.994
229,45,blue-collar,married,basic.4y,no,yes,yes,telephone,may,mon,177,1,999,1.1,93.994
230,39,admin.,married,professional.course,no,yes,no,telephone,may,mon,580,2,999,1.1,93.994
231,50,services,divorced,professional.course,no,yes,no,telephone,may,mon,165,1,999,1.1,93.994
232,32,management,divorced,basic.4y,unknown,yes,no,telephone,may,mon,127,2,999,1.1,93.994
233,39,admin.,married,high.school,unknown,no,no,telephone,may,mon,357,1,999,1.1,93.994
234,52,self-employed,married,university.degree,unknown,no,no,telephone,may,mon,175,1,999,1.1,93.994
235,44,admin.,married,professional.course,no,yes,no,telephone,may,mon,300,1,999,1.1,93.994
236,56,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,136,1,999,1.1,93.994
237,48,admin.,married,high.school,no,no,no,telephone,may,mon,125,2,999,1.1,93.994
238,33,services,married,high.school,unknown,no,yes,telephone,may,mon,189,2,999,1.1,93.994
239,43,management,married,university.degree,unknown,no,yes,telephone,may,mon,213,3,999,1.1,93.994
240,57,retired,married,high.school,no,no,no,telephone,may,mon,238,2,999,1.1,93.994
241,36,technician,single,professional.course,no,no,no,telephone,may,mon,124,1,999,1.1,93.994
242,34,management,married,university.degree,no,yes,no,telephone,may,mon,18,1,999,1.1,93.994
243,34,services,single,basic.9y,no,no,no,telephone,may,mon,730,2,999,1.1,93.994
244,30,technician,married,university.degree,unknown,no,no,telephone,may,mon,40,1,999,1.1,93.994
245,33,services,divorced,unknown,no,no,no,telephone,may,mon,181,2,999,1.1,93.994
246,32,technician,single,professional.course,no,no,no,telephone,may,mon,79,1,999,1.1,93.994
247,36,technician,single,high.school,no,yes,no,telephone,may,mon,142,2,999,1.1,93.994
248,36,blue-collar,single,high.school,no,no,yes,telephone,may,mon,389,1,999,1.1,93.994
249,33,services,single,high.school,no,no,no,telephone,may,mon,702,1,999,1.1,93.994
250,40,technician,divorced,professional.course,no,no,no,telephone,may,mon,151,1,999,1.1,93.994
251,41,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,211,1,999,1.1,93.994
252,51,services,married,basic.6y,no,yes,no,telephone,may,mon,117,1,999,1.1,93.994
253,36,technician,married,professional.course,no,yes,no,telephone,may,mon,232,3,999,1.1,93.994
254,28,services,married,unknown,no,no,no,telephone,may,mon,408,2,999,1.1,93.994
255,53,services,married,high.school,no,yes,yes,telephone,may,mon,370,3,999,1.1,93.994
256,58,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,179,2,999,1.1,93.994
257,45,management,married,basic.9y,no,no,yes,telephone,may,mon,46,1,999,1.1,93.994
258,43,technician,married,unknown,no,yes,no,telephone,may,mon,200,1,999,1.1,93.994
259,33,admin.,married,high.school,no,no,yes,telephone,may,mon,50,1,999,1.1,93.994
260,33,admin.,married,high.school,no,no,yes,telephone,may,mon,181,1,999,1.1,93.994
261,27,blue-collar,single,basic.6y,no,unknown,unknown,telephone,may,mon,119,1,999,1.1,93.994
262,42,technician,married,high.school,no,no,no,telephone,may,mon,361,1,999,1.1,93.994
263,43,admin.,divorced,basic.9y,no,no,no,telephone,may,mon,73,3,999,1.1,93.994
264,42,admin.,married,university.degree,no,no,no,telephone,may,mon,67,2,999,1.1,93.994
265,27,blue-collar,single,basic.6y,no,no,no,telephone,may,mon,350,1,999,1.1,93.994
266,34,self-employed,single,university.degree,no,yes,no,telephone,may,mon,150,2,999,1.1,93.994
267,31,student,single,university.degree,unknown,no,no,telephone,may,mon,332,2,999,1.1,93.994
268,54,management,divorced,university.degree,no,no,no,telephone,may,mon,611,2,999,1.1,93.994
269,40,self-employed,married,basic.4y,unknown,no,no,telephone,may,mon,58,3,999,1.1,93.994
270,52,unemployed,married,high.school,unknown,yes,no,telephone,may,mon,151,1,999,1.1,93.994
271,47,management,divorced,university.degree,no,no,no,telephone,may,mon,89,2,999,1.1,93.994
272,49,housemaid,married,basic.9y,unknown,no,no,telephone,may,mon,152,1,999,1.1,93.994
273,32,admin.,single,high.school,no,no,no,telephone,may,mon,611,2,999,1.1,93.994
274,49,housemaid,single,high.school,unknown,yes,yes,telephone,may,mon,110,2,999,1.1,93.994
275,50,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,463,1,999,1.1,93.994
276,34,services,married,high.school,no,no,no,telephone,may,mon,962,1,999,1.1,93.994
277,55,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,102,2,999,1.1,93.994
278,47,technician,single,basic.9y,no,no,no,telephone,may,mon,10,4,999,1.1,93.994
279,51,retired,married,professional.course,no,no,no,telephone,may,mon,118,3,999,1.1,93.994
280,47,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,92,2,999,1.1,93.994
281,56,technician,married,basic.4y,no,yes,no,telephone,may,mon,143,3,999,1.1,93.994
282,53,admin.,married,basic.9y,no,no,no,telephone,may,mon,189,3,999,1.1,93.994
283,36,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,75,2,999,1.1,93.994
284,42,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,mon,189,2,999,1.1,93.994
285,44,blue-collar,divorced,basic.6y,no,no,no,telephone,may,mon,55,2,999,1.1,93.994
286,39,housemaid,married,basic.9y,no,yes,no,telephone,may,mon,935,3,999,1.1,93.994
287,37,admin.,single,high.school,no,yes,yes,telephone,may,mon,56,2,999,1.1,93.994
288,60,blue-collar,married,unknown,unknown,yes,no,telephone,may,mon,5,2,999,1.1,93.994
289,36,services,married,high.school,no,no,no,telephone,may,mon,225,2,999,1.1,93.994
290,42,management,divorced,university.degree,no,yes,no,telephone,may,mon,125,2,999,1.1,93.994
291,31,admin.,married,high.school,no,yes,yes,telephone,may,mon,286,2,999,1.1,93.994
292,53,technician,divorced,professional.course,unknown,no,yes,telephone,may,mon,206,2,999,1.1,93.994
293,45,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,164,2,999,1.1,93.994
294,37,technician,single,professional.course,no,yes,no,telephone,may,mon,98,2,999,1.1,93.994
295,47,self-employed,married,professional.course,no,no,no,telephone,may,mon,446,2,999,1.1,93.994
296,49,blue-collar,divorced,high.school,no,no,yes,telephone,may,mon,742,2,999,1.1,93.994
297,36,admin.,married,university.degree,no,yes,no,telephone,may,mon,120,2,999,1.1,93.994
298,35,services,divorced,high.school,no,no,no,telephone,may,mon,122,3,999,1.1,93.994
299,38,unknown,married,unknown,unknown,no,no,telephone,may,mon,362,4,999,1.1,93.994
300,38,services,single,high.school,unknown,no,no,telephone,may,mon,357,2,999,1.1,93.994
301,50,blue-collar,divorced,high.school,unknown,no,yes,telephone,may,mon,200,2,999,1.1,93.994
302,59,retired,married,professional.course,unknown,no,no,telephone,may,mon,107,2,999,1.1,93.994
